Date,Open Index,Closing Index
8/4/2023,11750.9,11770.31
8/3/2023,11744.43,11750.9
8/2/2023,11737.96,11744.43
8/1/2023,11731.49,11737.96
7/31/2023,11725.02,11731.49
7/27/2023,11699.14,11725.02
7/26/2023,11692.67,11699.14
7/25/2023,11686.2,11692.67
7/24/2023,11679.73,11686.2
7/21/2023,11660.32,11679.73
7/20/2023,11653.85,11660.32
7/19/2023,11647.38,11653.85
7/18/2023,11640.91,11647.38
7/17/2023,11634.44,11640.91
7/14/2023,11615.03,11634.44
7/13/2023,11611.31,11615.03
7/12/2023,11604.41,11611.31
7/11/2023,11597.52,11604.41
7/10/2023,11590.59,11597.52
7/7/2023,11569.83,11590.59
7/6/2023,11562.71,11569.83
7/5/2023,11555.82,11562.71
7/4/2023,11548.14,11555.82
7/3/2023,11506.11,11512.83
6/27/2023,11506.11,11512.83
6/26/2023,11506.11,11512.11
6/23/2023,11485.55,11506.11
6/22/2023,11478.68,11485.55
6/21/2023,11470.98,11478.68
6/20/2023,11464.38,11470.98
6/16/2023,11438.13,11457.98
6/15/2023,11438.08,11438.13
6/14/2023,11432.62,11438.08
6/13/2023,11425.43,11432.62
6/12/2023,11419.55,11425.43
6/9/2023,11400.65,11419.55
6/8/2023,11395.32,11400.65
6/7/2023,11389.31,11395.32
6/6/2023,11382.84,11389.31
6/5/2023,11374.92,11382.84
6/2/2023,11352.16,11374.92
6/1/2023,11352.1,11352.16
5/31/2023,11344.97,11352.1
5/30/2023,11339.31,11344.97
5/29/2023,11332.66,11339.31
5/26/2023,11312.97,11332.66
5/25/2023,11306.39,11312.97
5/24/2023,11302.45,11306.39
5/23/2023,11297.44,11302.45
5/22/2023,11291.92,11297.44
5/19/2023,11273.83,11291.92
5/12/2023,11240.2,11260.05
5/11/2023,11232.96,11240.2
5/10/2023,11225.87,11232.96
5/9/2023,11218.42,11225.87
5/8/2023,11212.06,11218.42
5/5/2023,11191.05,11212.06
5/4/2023,11184.96,11191.05
5/3/2023,11178.52,11184.96
5/2/2023,11172.42,11178.52
4/28/2023,11146.31,11172.42
4/27/2023,11140.23,11146.31
4/26/2023,11134.09,11140.23
4/20/2023,11097.54,11134.09
4/19/2023,11091.44,11097.54
4/18/2023,11084.83,11091.44
4/17/2023,11077.79,11084.83
4/13/2023,11050.56,11056.61
4/12/2023,11044.79,11050.56
4/11/2023,11038.56,11044.79
4/10/2023,11032.42,11038.56
4/7/2023,11013.11,11032.42
4/6/2023,11013.03,11013.11
4/5/2023,11003.25,11013.03
4/4/2023,11000.41,11003.25
4/3/2023,10997.69,11000.41
3/30/2023,10973.37,10978.49
3/29/2023,10968.55,10973.37
3/28/2023,10963.85,10968.55
3/27/2023,10963.15,10963.85
3/24/2023,10940.48,10963.15
3/22/2023,10940.48,10963.15
3/21/2023,10935.83,10940.48
3/20/2023,10928.71,10935.83
3/17/2023,10910.98,10928.71
3/16/2023,10905.07,10910.98
3/15/2023,10899.39,10905.07
3/14/2023,10893.61,10899.39
3/13/2023,10886.67,10893.61
3/10/2023,10868.18,10886.67
3/9/2023,10868.05,10868.18
3/8/2023,10863.56,10868.05
3/7/2023,10859.3,10863.56
3/6/2023,10854.92,10859.3
3/3/2023,10843.08,10854.92
3/2/2023,10839.65,10843.08
3/1/2023,10835.85,10839.65
2/27/2023,10827.82,10832.21
2/24/2023,10814.87,10827.82
2/23/2023,10810.48,10814.87
2/22/2023,10804.92,10810.48
2/21/2023,10799.72,10804.92
2/20/2023,10797.05,10799.72
2/17/2023,10782.58,10797.05
2/16/2023,10781.86,10782.58
2/15/2023,10777.64,10781.86
2/14/2023,10773.29,10777.64
2/13/2023,10767.22,10773.29
2/10/2023,10752.39,10767.22
2/9/2023,10747.86,10752.39
2/8/2023,10742.78,10747.86
2/7/2023,10737.71,10742.78
2/6/2023,10732.45,10737.71
2/2/2023,10718.1,10732.45
2/1/2023,10707.97,10713.37
1/31/2023,10703,10707.97
1/30/2023,10698.45,10703
1/27/2023,10683.38,10698.45
1/26/2023,10664.74,10683.38
1/25/2023,10660.54,10664.74
1/24/2023,10655.13,10660.54
1/23/2023,10651.89,10655.13
1/20/2023,10639.93,10651.89
1/19/2023,10636.3,10639.93
1/18/2023,10633.87,10636.3
1/17/2023,10630.4,10633.87
1/16/2023,10626.38,10630.4
1/13/2023,10613.84,10626.38
1/12/2023,10610.19,10613.84
1/11/2023,10605.39,10610.19
1/10/2023,10600.53,10605.39
1/9/2023,10595.56,10600.53
1/6/2023,10582.13,10595.56
1/5/2023,10577.51,10582.13
1/4/2023,10574.34,10577.51
1/3/2023,10571.78,10574.34
1/2/2023,10550.44,10571.78
12/30/2022,10550.44,10571.78
12/29/2022,10542.36,10550.44
12/28/2022,10536.9,10542.36
12/27/2022,10531.9,10536.9
12/26/2022,10527.31,10531.9
12/23/2022,10513.67,10527.31
12/21/2022,10503.88,10509.07
12/20/2022,10499.2,10503.88
12/19/2022,10494.29,10499.2
12/16/2022,10480.37,10494.29
12/15/2022,10475.45,10480.37
12/14/2022,10471.09,10475.45
12/13/2022,10466.66,10471.09
12/12/2022,10462.7,10466.66
12/9/2022,10448.84,10462.7
12/8/2022,10444.29,10448.84
12/7/2022,10439.88,10444.29
12/5/2022,10420.85,10435.13
12/2/2022,10415.1,10420.85
12/1/2022,10409.76,10415.1
11/30/2022,10405.05,10409.76
11/29/2022,10400.1,10405.05
11/28/2022,10404.19,10400.1
11/24/2022,10387.19,10391.37
11/23/2022,10382.74,10387.19
11/22/2022,10378.4,10382.74
11/21/2022,10373.76,10378.4
11/18/2022,10360.94,10373.76
11/17/2022,10357.27,10360.94
11/16/2022,10353.07,10357.27
11/15/2022,10348.88,10353.07
11/14/2022,10344.68,10348.88
11/11/2022,10332.11,10344.68
11/10/2022,10327.8,10332.11
11/8/2022,10318.95,10327.8
11/7/2022,10314.19,10318.95
11/4/2022,10300.95,10314.19
11/3/2022,10296.74,10300.95
11/2/2022,10292.28,10296.74
11/1/2022,10287.97,10292.28
10/31/2022,10283.89,10287.97
10/28/2022,10271.97,10283.89
10/27/2022,10267.55,10271.97
10/26/2022,10263.12,10267.55
10/25/2022,10257.83,10263.12
10/24/2022,10253.08,10257.83
10/21/2022,10240.34,10253.08
10/20/2022,10236.54,10240.34
10/19/2022,10232.3,10236.54
10/18/2022,10228.22,10232.3
10/17/2022,10224,10228.22
10/14/2022,10211.42,10224
10/13/2022,10207.3,10211.42
10/12/2022,10202.98,10207.3
10/11/2022,10198.49,10202.98
10/10/2022,10194.1,10198.49
10/7/2022,10181.49,10194.1
10/6/2022,10178.99,10181.49
10/5/2022,10174.76,10178.99
10/4/2022,10170.76,10174.76
10/3/2022,10167.17,10170.76
10/2/2022,10154.74,10167.17
9/29/2022,10150.36,10154.74
9/28/2022,10145.79,10150.36
9/27/2022,10141.28,10145.79
9/26/2022,10136.46,10141.28
9/23/2022,10122.84,10136.46
9/22/2022,10118.09,10122.84
9/21/2022,10113.96,10118.09
9/20/2022,10109.6,10113.96
9/19/2022,10096.67,10109.6
9/16/2022,10092.21,10096.67
9/15/2022,10087.93,10092.21
9/14/2022,10083.85,10087.93
9/13/2022,10079.96,10083.85
9/12/2022,10067.29,10079.96
9/9/2022,10063.28,10067.29
9/8/2022,10059.52,10063.28
9/7/2022,10055.22,10059.52
9/6/2022,10051.1,10055.22
9/5/2022,10046.91,10051.1
9/4/2022,10042.72,10046.91
9/3/2022,10038.12,10042.72
9/2/2022,10033.52,10038.12
9/1/2022,10029.2,10033.52
8/31/2022,10024.99,10029.2
8/30/2022,10020.73,10024.99
8/29/2022,10016.59,10020.73
8/28/2022,10012.38,10016.59
8/27/2022,10008.18,10012.38
8/26/2022,10003.96,10008.18
8/25/2022,10000,10003.96
8/24/2022,10000,10000
